Time,Team 1,Team 1 Score,Team 2,Team 2 Score,Match Info
4:20 PM,Tulsa Blue (#2),0,Green Machine (#3),1,Men's Semi 1
4:40 PM,Raging Cocks (#1),1,Tulsa White (#4),0,Men's Semi 2
