Time,Team 1,Team 1 Score,Team 2,Team 2 Score,Match Info
4:20 PM,Men Seed 1,,Men Seed 4,,Men's Semi 1
4:40 PM,Men Seed 2,,Men Seed 3,,Men's Semi 2
