Team Names,Division
Tulsa Women,Women's Pool
Fayetville Phoenix,Women's Pool
Little Rock Women,Women's Pool
Tulsa White,Men's Pool
OK Motley,Men's Pool
Raging Cocks,Men's Pool
Yahoos,Men's Pool
Tulsa Blue,Men's Pool
OKC,Men's Pool
Green Machine,Men's Pool
Little Rock Men,Men's Pool
